comune_matchable_50,region,province,popres_1921_tot,popres_1921_f,analfabeti_1921,ind_workers_1927,agri_workers_1929
ACQUAVIVA DELLE FONTI,Puglia,Bari,9896.0,5086.0,4201.0,725.0,2974.0
ADELFIA,Puglia,Bari,6726.0,3637.0,2482.0,515.0,1821.0
ALBEROBELLO,Puglia,Bari,6856.0,3524.0,3812.0,556.0,2050.0
ALTAMURA,Puglia,Bari,23334.0,11894.0,11942.0,1724.0,4982.0
ANDRIA,Puglia,Bari,51444.0,26054.0,32433.0,3545.0,11063.0
BARI,Puglia,Bari,108868.0,54687.0,42254.0,24417.0,6654.0
BARLETTA,Puglia,Bari,43697.0,21630.0,22634.0,4663.0,6467.0
BINETTO,Puglia,Bari,883.0,458.0,378.0,44.0,
BISCEGLIE,Puglia,Bari,33728.0,17061.0,17200.0,1964.0,5110.0
BITETTO,Puglia,Bari,4995.0,2666.0,2195.0,288.0,1265.0
BITONTO,Puglia,Bari,27757.0,14484.0,14715.0,2463.0,4884.0
BITRITTO,Puglia,Bari,3923.0,2125.0,2556.0,219.0,1087.0
CANOSA DI PUGLIA,Puglia,Bari,22668.0,11374.0,14842.0,1591.0,5972.0
CAPURSO,Puglia,Bari,3990.0,2123.0,1418.0,419.0,693.0
CASAMASSIMA,Puglia,Bari,7589.0,3956.0,3931.0,305.0,1581.0
CASSANO DELLE MURGE,Puglia,Bari,5156.0,2656.0,2250.0,343.0,1845.0
CASTELLANA,Puglia,Bari,9931.0,5350.0,3266.0,963.0,4639.0
CELLAMARE,Puglia,Bari,865.0,468.0,510.0,20.0,480.0
CONVERSANO,Puglia,Bari,13945.0,7281.0,6905.0,902.0,3046.0
CORATO,Puglia,Bari,43107.0,21736.0,25794.0,2830.0,8319.0
GIOIA DEL COLLE,Puglia,Bari,22642.0,11564.0,11562.0,2108.0,4380.0
GIOVINAZZO,Puglia,Bari,9296.0,4792.0,4029.0,1306.0,1906.0
GRAVINA IN PUGLIA,Puglia,Bari,18564.0,9306.0,9530.0,1284.0,3944.0
GRUMO APPULA,Puglia,Bari,11022.0,5713.0,5793.0,556.0,1996.0
LOCOROTONDO,Puglia,Bari,7637.0,3954.0,4352.0,713.0,2172.0
MINERVINO MURGE,Puglia,Bari,16473.0,8491.0,10771.0,986.0,4495.0
MODUGNO,Puglia,Bari,10520.0,5625.0,5759.0,1097.0,1800.0
MOLA DI BARI,Puglia,Bari,13518.0,7417.0,4071.0,1496.0,2444.0
MOLFETTA,Puglia,Bari,40074.0,21580.0,20646.0,4525.0,3643.0
MONOPOLI,Puglia,Bari,22291.0,11402.0,12199.0,3170.0,4603.0
NOCI,Puglia,Bari,11925.0,6200.0,5884.0,639.0,3021.0
NOICATTARO,Puglia,Bari,8897.0,4560.0,4492.0,653.0,1735.0
PALO DEL COLLE,Puglia,Bari,10619.0,5456.0,5182.0,647.0,2499.0
POLIGNANO A MARE,Puglia,Bari,7650.0,3905.0,3784.0,413.0,2213.0
PUTIGNANO,Puglia,Bari,15426.0,8136.0,7013.0,1662.0,4631.0
RUTIGLIANO,Puglia,Bari,8843.0,4768.0,3512.0,848.0,1944.0
RUVO DI PUGLIA,Puglia,Bari,23399.0,11845.0,13408.0,2082.0,6597.0
SAMMICHELE DI BARI,Puglia,Bari,6141.0,3378.0,1943.0,194.0,1534.0
SANNICANDRO DI BARI,Puglia,Bari,6439.0,3471.0,2585.0,387.0,1628.0
SANTERAMO IN COLLE,Puglia,Bari,13559.0,6848.0,6237.0,874.0,3994.0
SPINAZZOLA,Puglia,Bari,9674.0,4883.0,4167.0,797.0,2157.0
TERLIZZI,Puglia,Bari,20852.0,10705.0,11767.0,1811.0,4544.0
TORITTO,Puglia,Bari,5657.0,2944.0,2451.0,572.0,1443.0
TRANI,Puglia,Bari,30541.0,15849.0,14175.0,2375.0,2561.0
TRIGGIANO,Puglia,Bari,8967.0,4910.0,3987.0,490.0,1885.0
TURI,Puglia,Bari,6755.0,3426.0,3151.0,397.0,2498.0
VALENZANO,Puglia,Bari,4369.0,2437.0,2116.0,553.0,1058.0
